Heading (H2),Subheading (P)
उपकुलपति नियुक्त गर्न विश्वविद्यालयपिच्छे फरक मापदण्ड,"आसन्न स्थानीय तह उपनिर्वाचनका लागि आजदेखि निर्वाचन आचारसंहिता लागू भएको छ । निर्वाचन आयोगले आइतबारदेखि उपनिर्वाचन हुने सम्बन्धित जिल्लाभित्र सार्वजनिक पदधारण गरेका व्यक्ति, निकाय तथा अधिकारीलाई निर्वाचन सम्पन्न नभएसम्म आचारसंहिता लागू गर्ने निर्णय गरेको आयोगका सहसचिव एवं प्रवक्ता नीता पोखरेल अर्यालले जानकारी दिइन् ।"
नेपाल-भारत सीमा सुरक्षा बैठक : तेस्रो देशका नागरिकको घुसपैठ रोक्ने सहकार्यमा नेपालको आग्रह,"देशभर पश्चिमी र पहाडी भागमा स्थानीय वायुको सामान्य प्रभाव रहेको बताउँदै जल तथा मौसम विज्ञान विभागले हाल कोशी, वाग्मती  र गण्डकी प्रदेशका पहाडी भागमा आंशिक बदली रही बाँकी भागमा मौसम सफा रहेको जनाएको छ । तराई क्षेत्रका केही स्थानमा हुस्सु लागेको छ ।"
उपनिर्वाचनका लागि उम्मेदवारी मनोनयन आज,"कास्की घर भएका दिलबहादुर श्रेष्ठ गोरखा नगरपालिका–६ ठूलोआँगनमा जूनको उज्यालोमा मकै सुकाउने सकिमना पुन्हिः पर्वमा रमाइरहेका थिए । ‘हाम्रा संस्कृति लोप हुँदै गएका छन्, एकादशीदेखि पाँच दिनसम्म व्रत बसेर पूर्णिमाको रात चन्द्रमा उदाएपछि अन्न सुकाउने प्रचलन हो,’ उनले भने, ‘हाम्रो जातिको यो प्रचलन यहाँ देख्न पाइँदो रहेछ, निकै खुसी लाग्यो ।’"
दाहालको ‘चाइना कार्ड’ टिप्पणीप्रति एमालेको आपत्ति,उपकुलपति सिफारिसका लागि विश्वविद्यालयपिच्छे गठित छनोट तथा सिफारिस समितिले छुट्टाछुट्टै कार्यविधि बनाएको भन्दै विज्ञहरूले आलोचना गरेका छन् । प्रतिस्पर्धाबाट उपकुलपति नियुक्त गर्ने भनिए पनि सिफारिस समितिले तजबिजीमा दिने अंक धेरै भएको भन्दै सिफारिस प्रक्रियामाथि नै उनीहरूले असहमति जनाएका हुन् ।
"चीन भ्रमणको तयारी सुस्त, बहस तीव्र",स्थलमार्गबाट हुने तेस्रो देशका नागरिकको घुसपैठ रोक्ने सहकार्यका लागि नेपालले भारतसँग आग्रह गरेको छ । गैरकानुनी घुसपैठ राष्ट्रिय सुरक्षाकै लागि चुनौती बन्न सक्ने जनाउँदै स्थलमार्गबाट तेस्रो देशका नागरिकको आवागमनलाई कडाइका साथ नियमन गरिदिन नेपालका सुरक्षा अधिकारीले भारतीय पक्षसँग आग्रह गरेका हुन् ।
कान्तिपुरका स्तम्भहरु,स्थानीय तह उपनिर्वाचनका लागि आइतबार उम्मेदवारको मनोनयन दर्ता हुँदै छ । बिहान १० बजेदेखि बेलुका ५ बजेसम्म निर्वाचन अधिकृतको कार्यालयमा उम्मेदवार मनोनयन दर्ता गर्ने निर्वाचन आयोगको तालिका छ ।
,सत्तारूढ एमालेले माओवादी अध्यक्ष तथा पूर्वप्रधानमन्त्री पुष्पकमल दाहालले भारतीय अखबार ‘द हिन्दु’ सँगको अन्तर्वार्तामा प्रधानमन्त्री केपी शर्मा ओलीप्रति गरेको टिप्पणीको भर्त्सना गरेको छ । दाहालले अन्तर्वार्तामा प्रधानमन्त्री केपी शर्मा ओलीले ‘चाइना कार्ड प्रयोग गरेको’ बताएका थिए ।
हाम्रो बारेमा,"प्रधानमन्त्री केपी शर्मा ओलीको चीन भ्रमणको औपचारिक घोषणा हुनै बाँकी छ, तर राजनीतिक तथा कूटनीतिक क्षेत्रमा बहस सुरु भएको छ । मंसिर तेस्रो साता चीन भ्रमण गर्ने तयारी गरेको सरकारले एजेन्डा भने तय गरिसकेको छैन, तर नेपालभित्रै पनि विभिन्न कोणबाट बहस सुरु भएको छ ।"
उपयोगी लिंकहरु,"यो वेबसाइट कान्तिपुर राष्ट्रिय दैनिकको आधिकारिक न्युज पोर्टल हो । नेपाली भाषाको यो पोर्टलले समाचार, विचार, मनोरञ्जन, खेल, विश्व, सूचना प्रविधि, भिडियो तथा जीवनका विभिन्न आयामका समाचार र विश्लेषणलाई समेट्छ।"
"पहाड र तराईका केही स्थानमा हुस्सु, बाँकी भागमा मौसम सफा",नतिजा हेर्नको लागि लगइन गर्नुहोस् ।
‘देवी’ ले लडेको न्यायिक लडाइँ,तपाईको प्रतिक्रिया समीक्षामा भएकोले प्रकाशित भएको छैन ।
दानमा जग्गा लिनु गलत भएको अभिव्यक्ति दिने सांसद एमालेबाट निलम्बित,तपाईको प्रतिक्रिया समीक्षामा भएकोले प्रकाशित भएको छैन ।
बीआरआई अघि बढाउन कांग्रेस–एमाले सहमति नजिक,देशमा पश्चिमी वायुको सामान्य प्रभाव रहेको  बताउँदै जल तथा मौसम विज्ञान विभागले हाल पहाडी भागमा भागमा आंशिक बदली रही बाँकी भागमा मौसम सफा रहेको छ । तराईका केही स्थानमा तथा पहाडी भेगका एक–दुई स्थानमा हुस्सु लागेको छ ।
पूर्वमन्त्री अधिकारीलाई मुद्दा नचलाएकामा माओवादीको आपत्ति,"‘आज त आउँछ होला यो विषय, कसैले त उठाउँछ होला भनेर मैले १५ वर्ष कुरेँ । म पनि त ट्रमामा नै थिए नि । ठ्याक्कै बोल्न सक्ने, आवाज उठाउन सक्ने भएको भए पहिल्यै उठाउँथे नि,’ आँसु चुहाउँदै देवी खड्का भन्छिन्, ‘पछि त्यो पीडामा भएकाहरू हेर्दै गएँ र एउटा निष्कर्षमा पुगेँ, मैले नबोले कसैले नबोल्ने रहेछ ।’"
‘कर्णालीकी डाइभर्नी दिदी’,भाटभटेनी सुपर मार्केटका सञ्चालक मीनबहादुर गुरुङबाट पार्टीले जग्गा दानमा लिनु गलत भएको अभिव्यक्ति दिने लुम्बिनीका प्रदेश सांसद तथा पूर्वमन्त्री दुर्गाप्रसाद चौधरीलाई एमालेले पार्टी सदस्यबाट निलम्बन गरेको छ । सामाजिक सञ्जाललगायतमा पार्टीविरोधी अभिव्यक्ति दिएको तथा अध्यक्ष केपी शर्मा ओली र महासचिव शंकर पोखरेलको मानहानि गरेको भन्दै चौधरीलाई एमाले बाँकेले मंगलबार निलम्बन गरेको हो ।
इजरायल र  हेजबुल्लाहबीच युद्धविराम,सत्तारूढ कांग्रेस र एमाले बेल्ट एन्ड रोड इनिसिएटिभ (बीआरआई) सम्बन्धी कार्यक्रम कार्यान्वयनमा साझा धारणा बनाउन सहमति निकट पुगेका छन् । प्रधानमन्त्री निवास बालुवाटारमा बुधबार भएको छलफलमा दुई दलबीच बीआरआईको ‘कार्यक्रम कार्यान्वयन योजना’को प्रस्तावित मस्यौदालाई संशोधन गरेर ‘बीआरआई कोअपरेसन फ्रेमवर्क’ प्रस्ताव गर्ने गृहकार्य भएको हो ।
तत्काललाई उद्योगका विद्युत् लाइन नकाटिने,मानव तस्करी आरोपमा पक्राउ परेका कोशी प्रदेशका पूर्वआन्तरिक मामिला तथा कानुनमन्त्री लीलाबल्लभ अधिकारीलाई काठमाडौं जिल्ला सरकारी वकिलको कार्यालयले मुद्दा नचलाएकामा माओवादीले आपत्ति जनाएको छ । माओवादी पदाधिकारीको बुधबार बसेको बैठकले सरकारले मानव तस्करीको गम्भीर आरोप लागेका पूर्वमन्त्री अधिकारीलाई एमाले भएकै कारण उन्मुक्ति दिएको निष्कर्ष निकालेको हो ।
युवालाई विदेशिनबाट रोक्न साझा व्यवस्थापनको खाँचो छ : देउवा,"कर्णाली राजमार्गको वीरेन्द्रनगर–रानीघाट रुटमा सधैं हुइँकिरहने भे१ज ६५१ नम्बरको जिप देखेपछि धेरैको नजर चालकतिर सोझिन्छ । यो जिपकी चालक हुन्– सुर्खेतको बराहाताल गाउँपालिका–२ की ३२ वर्षीया तुल्सीकुमारी वली । ‘कर्णालीमा सार्वजनिक ठूला सवारीसाधन चलाउने महिला छैनन्,’ नेपाल प्रहरीको राजमार्ग सुरक्षा तथा ट्राफिक व्यवस्थापन कार्यालय सुर्खेतका प्रमुख अपिलराज बोहरा भन्छन्, ‘अटो चालक महिला छन् तर जिप चलाउने कोही छैनन् ।’"
प्रधानमन्त्री ओलीको चीन भ्रमणको तयारी गर्न परराष्ट्रमन्त्री राणा बिहीबार छेन्दु जाँदै,करिब १४ महिना लामो युद्धपछि अन्ततः इजरायल र लेबनानको लडाकु समूह हेजबुल्लाह युद्धविरामका लागि सहमत भएका छन् । दुई पक्षबीच बुधबार बिहान ४ बजेदेखि लागू हुने गरी युद्धविराम भएको अमेरिकी राष्ट्रपति जो बाइडेनले घोषणा गरेका हुन् । युद्धविराम भएसँगै इजरायल–लेबनान सीमा क्षेत्र शान्त बनेको अन्तर्राष्ट्रिय सञ्चारमाध्यमले जनाएका छन् ।
"प्रधानमन्त्री ओलीले भने - काम नहुँदा निरीह हेरेर हुँदैन, ठोस योजना चाहियो","नेपाल विद्युत् प्राधिकरण सञ्चालक समिति बैठकले डेडिकेटेड र ट्रंकलाइन विवादमा बक्यौता नतिर्ने उद्योगको बिजुली नकाट्ने निर्णय गरेको छ । ऊर्जा, जलस्रोत तथा सिँचाइमन्त्री दीपक खड्काको अध्यक्षतामा बुधबार बसेको बैठकले उद्योगमा बिजुली नकाट्ने निर्णय गरेको हो ।"
एमालेका पूर्वमन्त्री अधिकारीलाई उन्मुक्ति दिएकामा माओवादीको आपत्ति,सत्तारुढ कांग्रेसका सभापति एवं पूर्वप्रधानमन्त्री शेरबहादुर देउवाले युवाहरूलाई विदेशिनबाट रोक्न एसियाली मुलुकहरूको साझा अवधारणासहितको व्यवस्थापनको खाँचो रहेको औँल्याएका छन् ।
डेडिकेटेड र ट्रंकलाइन बक्यौता : कुन उद्योगले कति तिर्न बाँकी ? [सूचीसहित],प्रधानमन्त्री केपी शर्मा ओलीको औपचारिक चीन भ्रमणको गृहकार्य गर्न परराष्ट्रमन्त्री आरजु राणा देउवा बिहीबार चीन जाँदै छिन् । उनले चीनका विदेशमन्त्री वाङ यीसँग छेन्दु सहरमा शुक्रबार भेटवार्ता गर्ने कार्यक्रम छ ।
बक्यौता नतिर्ने ३४ उद्योगको खाता रोक्का गर्न राष्ट्र बैंकलाई घिसिङको पत्र,प्रधानमन्त्री केपी शर्मा ओलीले विद्यमान स्थितिमा परिवर्तन ल्याउने गरी प्रभावकारी काम गर्न मन्त्री र सचिवहरूलाई निर्देशन दिएका छन् ।
फोटो संग्रहालय स्थापनाका लागि सहयोग गर्न प्रधानमन्त्रीसँग माग,मानव तस्करी आरोपमा पक्राउ परेका कोशी प्रदेशका पूर्वआन्तरिक मामिला तथा कानुनमन्त्री लीलाबल्लभ अधिकारीलाई काठमाडौं जिल्ला सरकारी वकिलको कार्यालयले मुद्दा नचलाई उन्मुक्ति दिएकोमा माओवादी केन्द्रले आपत्ति जनाएको छ ।
स्वास्थ्य क्षेत्रमै सुधार आवश्यक : मन्त्री पौडेल,"नेपाल विद्युत् प्राधिकरणका कार्यकारी निर्देशक कुलमान घिसिङले लोडसेडिङका बेला डेडिकेटेड फिडर र ट्रंक लाइनबाट बिजुली लिएर महसुल नतिर्ने ३४ उद्योगको खाता रोक्का गर्न, सेयर कारोबार रोक्का गर्न र सेयर जारी गर्ने अनुमति रोक्का गर्न सम्बन्धित निकायलाई पत्राचार गरेका छन् ।"
युवाहरूलाई दक्षताअनुसार रोजगारी दिनुपर्छ : सभापति देउवा,नेपाल विद्युत् प्राधिकरणले लोडसेडिङको अवधिमा डेडिकेटेड फिडर र ट्रंकलाइनमार्फत विद्युत् उपभोग गरेको बक्यौता नतिर्ने ३४ उद्योगको खाता रोक्का गर्न नेपाल राष्ट्र बैंकलाई पत्राचार गरेको छ ।
उपनिर्वाचन भ्रष्टाचारविरुद्ध महाभियान : अध्यक्ष दाहाल,राष्ट्रिय फोटो पत्रकार समूह (एनएफपीजे) नेपालको नवनिर्वाचित कार्यसमितिले प्रधानमन्त्री केपी शर्मा ओलीसँग फोटो संग्रहालय स्थापना लगायतमा सहयोग गर्न माग गरेको छ ।
संविधानको मुलभूत विषयमा संशोधन हुँदैन : महामन्त्री थापा,स्वास्थ्य तथा जनसंख्यामन्त्री प्रदीप पौडेलले स्वास्थ्य क्षेत्रभित्रै समाजवाद र लोकतन्त्र रहेको हुँदा यसमा सुधार गरे जनसमुदायलाई सन्तुष्ट पार्न सकिने बताएका छन् ।
"जनसंख्याका मुद्दालाई आर्थिक, सामाजिक र राजनीतिक रणनीतिका रुपमा हेरिनुपर्छ : प्रधानमन्त्री ओली",कांग्रेसका सभापति एवं पूर्वप्रधानमन्त्री शेरबहादुर देउवाले युवालाई दक्षताअनुसारको रोजगारी दिनुपर्ने बताएका छन् ।छैटौँ एशियाली जनसङ्ख्या सम्मेलनको उद्घाटन सत्रलाई सम्बोधन गर्दै उनले विश्वको ६० प्रतिशत जनसंख्या रहेको दक्षिण एशियाका राष्ट्रहरुहरुले युवाहरुलाई उनीहरुको दक्षता अनुसारको व्यवस्थापन गर्नु जरुरी रहेको उल्लेख गरे ।
बाढीपहिरोको दुई महिना : सुरक्षित बासस्थानको माग गर्दै पीडित,माओवादी केन्द्रका अध्यक्ष पुष्पकमकल दाहालले यही मंसिर १६ मा तय भएको स्थानीय तह उपनिर्वाचनलाई भ्रष्टाचारविरुद्ध र सुशासनको अभियानको रुपमा लिएको उल्लेख गर्दै आफ्नो दलका उम्मेदवारलाई जिताउन आग्रह गरेका छन् ।
नेताहरू भन्छन् : 'राजनीतिमा महिलाको क्षमतालाई लिएर शंका गर्ने चलन कायम छ',नेपाली कांग्रेसका महामन्त्री गगन थापाले दुई ठूला दलको सातबुँदे सहमतिलाई संस्थागत गर्न नेपाली कांग्रेस र नेपाल कम्युनिष्ट पार्टी (एमाले) बीच राजनीतिक संयन्त्र बनेको बताएका छन् ।
नेवार संस्कृतिले नेपाली संस्कृतिलाई प्रतिविम्बित गर्छ : प्रधानमन्त्री,"प्रधानमन्त्री केपी शर्मा ओलीले जनसंख्याका मुद्दालाई आर्थिक, सामाजिक र राजनीतिक रणनीतिका रुपमा हेरिनुपर्ने बताएका छन् । छैटौँ एसियाली जनसंख्या सम्मेलनको आज उद्घाटन गर्दै उनले विकास र जनघनत्वका सहसम्बन्धलाई ध्यान दिएर सीमान्तकृत तथा विपन्न समुदायको सहज जीवनयापनका लागि आधारभूत आवश्यकताको परिपूर्ति गर्न सरकारका प्रयासहरु जारी रहेको बताए ।"
काठमाडौं उपत्यकाको तापक्रम निरन्तर घट्दो,बाढीपहिरोको गएको दुई महिना बितिसक्दा पुनःनिर्माण र आवासको व्यवस्था हुन नसकेको भन्दै जिल्लाका पीडितले सुरक्षित बासस्थानको माग गरेका छन् । जाडोयाम सुरु भएसँगै सुरक्षित बास आवश्यक पर्ने भएकाले स्थानीय सरकारसँग बासस्थानको व्यवस्था गर्न बाढीपहिरो पीडितले माग गरेका हुन् ।
उपनिर्वाचनमा दलहरूको ‘मध्यावधि परीक्षण’,"विभिन्न राजनीतिक दलका महिला नेताहरूले महिलाको क्षमतालाई लिएर अझैं प्रश्न उठिरहने गरेको बताएका छन् । मिडिया एडभोकेसी ग्रुपले बुधबार ललितपुरमा आयोजना गरेको 'राजनीतिमा महिला हिंसा' विषयक 'म बोल्छु' कार्यक्रममा कांग्रेस, एमाले र माओवादीका महिला नेताले आफ्नो अनुभव साझा गर्ने क्रममा महिलालाई दिइने जिम्मेवारीमा शंका गरिने बताएका हुन् ।"
निर्वाह भत्ता नबढाए आन्दोलनमा उत्रने आवासीय चिकित्सकको चेतावनी,प्रधानमन्त्री केपी शर्मा ओलीले नेपालका संस्कृतिहरुमध्ये नेवार संस्कृति सबैभन्दा विकसित संस्कृति भएको बताएका छन् ।
बीआरआई दस्ताबेजमा संशोधन गर्न कांग्रेसको प्रस्ताव,देशमा पश्चिमी वायुको सामान्य प्रभाव रहेको  बताउँदै जल तथा मौसम विज्ञान विभागले पहाडी भू–भागमा आंशिक बदली रही बाँकी भागमा मौसम सफा रहेको जनाएको छ । तराई र पहाडी भेगका केही स्थानमा हुस्सु लागेको छ ।
८० लाख बुझाएर अमेरिका पुगेका युवासहित दुई नेपालीले दुर्घटनामा गुमाए ज्यान,राजनीतिक दलहरूले स्थानीय तह उपनिर्वाचनलाई आफ्नो मध्यावधि जनमत परीक्षणका रूपमा लिएका छन् । स्थानीय तहको ५ वर्षे कार्यकालको आधा अवधि पूरा भएको बेला आगामी आइतबार स्थानीय तहका करिब साढे तीन दर्जनमा उपनिर्वाचन हुँदै छ । उपनिर्वाचनको नतिजाले आगामी निर्वाचनसम्मलाई प्रभाव पार्न सक्ने रहेकाले वडा तहको चुनावमा पनि दलहरू शक्ति केन्द्रित गरेर सक्रियतापूर्वक होमिएका छन् ।
सामाजिक सुरक्षा कोषमा १८ लाख श्रमिक आबद्ध,मेडिकल कलेजले मासिक निर्वाह भत्ता ४८ हजार दिनुपर्ने निर्णयबाट चिकित्सा शिक्षा आयोग पछि हटेपछि स्नातकोत्तरमा अध्ययनरत आवासीय (रेसिडेन्ट) चिकित्सकले आन्दोलनको चेतावनी दिएका छन् । निजी मेडिकल कलेजमा काम गर्ने आवासीय चिकित्सकहरूको निर्वाह भत्ता सरकारीसरह हुनुपर्ने अडान उनीहरूले दोहोर्‍याएका छन् ।
हडतालबाट पछि हटे निगमका पाइलट,सत्तारूढ कांग्रेस र एमालेले ‘बेल्ट एन्ड रोड इनिसिएटिभ (बीआरआई)’ कार्यान्वयन योजना सम्झौताका लागि चीनले पठाएको दस्ताबेजका विषयमा अझै साझा धारणा बनाउन सकेका छैनन् । चिनियाँ दस्ताबेज संशोधन गर्न दुवै दल तयार भए पनि त्यसमा समेटिनुपर्ने विषयमा मतैक्य बन्न सकेको छैन । ‘बीआरआई फ्रेमवर्क’ भित्रका परियोजनाका लागि अनुदान मात्रै लिने सवालमा भने दुई दलको मत मिलेको छ ।
कर्मचारीलाई मतदान गर्ने व्यवस्था मिलाउन निर्वाचन आयोगको आग्रह,अमेरिकाको भर्जिनियास्थित च्यान्टिलीमा भएको कार दुर्घटनामा दुई नेपाली युवाको ज्यान गएको छ । कमाउनका लागि ११ महिनाअघि अवैध बाटो हुँदै अमेरिका पुगेका रुकुम पश्चिमको आठबिसकोट नगरपालिका–७ औली गाउँका सुरेश केसी र पढाइका लागि छात्रवृत्ति पाएर अमेरिका पुगेका बर्दिया मधुवनका २२ वर्षीय विवेक सुवेदीको ज्यान गएको हो ।
एकीकृत समाजवादी कीर्तिपुरका मेयर उम्मेदवारले गरे माओवादीलाई समर्थन,रोजगारदाता र श्रमिकको सहमतिमा ल्याइएको योगदानमा आधारित सामाजिक सुरक्षा कोष कार्यान्वयनमा आएको ६ वर्ष बितिसक्दा १७ लाख ९४ हजार श्रमिक मात्र आबद्ध भएका छन् । त्यसमा सबैभन्दा ठूलो हिस्सा वैदेशिक रोजगारीमा जानेको छ । वैदेशिक रोजगारीमा जानेको कोषमा आबद्धता भए पनि नियमित योगदान छैन ।
सरकारी करका विरुद्ध आजपाले प्रदर्शन गर्ने,करारमा कार्यरत अस्थायी पाइलटहरूसरह तलब सुविधाको माग गर्दै बिहीबारदेखि उडानमा नगई बिदा बसेर हडतालमा उत्रिएका नेपाल वायुसेवा निगमका २२ जना पाइलटले आन्दोलन फिर्ता लिएका छन् ।
परराष्ट्रको कायममुकायम सचिवमा राई,निर्वाचन आयोगले आसन्न स्थानीय तहको उपनिर्वाचनमा सम्पूर्ण कर्मचारीलाई मतदानका दिन विशेष बिदा वा अन्य वैकल्पिक उपाय अपनाई मतदान गर्ने व्यवस्था मिलाउनका लागि नेपाल सरकारलाई लेखी पठाउने निर्णय भएको छ ।
संविधानअनुसार बन्न बाँकी कानुनहरूको सम्बन्धमा अध्ययन गर्न संसदीय उपसमिति गठन,कीर्तिपुर नगरपालिकाको उपनिर्वाचनमा एकीकृत समाजवादीका मेयर पदका उम्मेदवार भानु रिजालले माओवादीलाई समर्थन गर्ने जनाएका छन् । उनले आफ्नो उम्मेदवारी निष्कृय रहेको र माओवादी केन्द्रका उम्मेदवार प्राडा शिवशरण महर्जनलाई समर्थन गर्ने निर्णय गरेको बताएका छन् ।
"अस्थायी, ज्यालादारी कर्मचारीलाई पनि सामाजिक सुरक्षा कोषमा ल्याउने प्रधानमन्त्रीको प्रतिबद्धता",सांसद प्रभु साह अध्यक्ष रहेको आम जनता पार्टी (आजपा)ले सरकारले मनोमानी कर लगाएको भन्दै विरोध गर्ने निर्णय गरेको छ । काठमाडौंमा बसेको आजपाको स्थायी कमिटी बैठकले काठमाडौंमा सरकारको मनोमानी कर लगाउने निर्णयविरुद्ध विरोध प्रदर्शन गर्ने निर्णय गरेको हो ।
काम छाडेर सडकमा उत्रने आवासीय चिकित्सकहरुको चेतावनी,अमृतकुमार राईले परराष्ट्र मन्त्रालयमा कायममुकायम सचिवको जिम्मेवारी पाएका छन् । परराष्ट्र मन्त्रालयकी सचिव सेवा लम्साल बेल्जियमका लागि राजदूत नियुक्त भएपछि मन्त्रालयका वरिष्ठ सहसचिव राईलाई कामु सचिवको जिम्मेवारी दिइएको हो ।
आर्थिक कूटनीतिलाई प्राथमिकतामा राखेर काम गर्न परराष्ट्रमन्त्री राणाको आग्रह,राष्ट्रिय सभा अन्तर्गतको विधायन व्यवस्थापन समितिले संविधानअनुसार बन्न बाँकी कानुनहरू सम्बन्धमा अध्ययन गर्न उपसमिति गठन गरेको छ ।
सामाजिक सुरक्षाको दायरालाई विस्तार गरिनेछ : प्रधानमन्त्री,"प्रधानमन्त्री केपी शर्मा ओलीले अस्थायी, ज्यालादारी कर्मचारीलाई पनि सामाजिक सुरक्षाको दायरामा ल्याउने घोषणा गरेका छन् ।केही दिन मात्रै काम गरेको भएपनि अस्थायी र ज्यालादारी कर्मचारीहरुले पनि सामाजिक सुरक्षा पाउनुपर्ने नियम लागू हुने उनले जानकारी दिए ।"
सामाजिक सुरक्षा काेषमा १७ लाखभन्दा बढी श्रमिक आबद्ध,सरकारीसरह मासिक न्यूनतम ४८ हजार निर्वाह भत्ता नपाए काम छाडेर सडकमा उत्रने चेतावनी आवासीय चिकित्सकहरुले दिएका छन् । मंगलबार आवासीय चिकित्सकहरुको ६ वटा संघसंस्थाले सामूहिक विज्ञप्ति जारी गर्दै निजी मेडिकल कलेजमा काम गर्ने आवासीय चिकित्सकहरुको निर्वाह भत्ता सरकारीसरह हुनुपर्ने बताएका हुन् ।
बीआरआई परियोजनालाई सरकारले ऋणको रुपमा ग्रहण गर्दैन :  सञ्चारमन्त्री,परराष्ट्रमन्त्री आरजु राणा देउवाले आर्थिक कूटनीतिलाई प्राथमिकतामा राखी यसको विस्तार एवं प्रवर्द्धन गर्न नेपालका नवनियुक्त राजदूत एवं निर्यात व्यवसायीहरुलाई आग्रह गरेकी छन् ।
कूटनीतिक र विशेष राहदानी प्रयोग गरेर आफूखुसी जाने कर्मचारीलाई अंकुश लगाउने तयारी,प्रधानमन्त्री केपी शर्मा ओलीले सरकारले सामाजिक सुरक्षाको दायरालाई विस्तार गर्ने घोषणा गरेका छन् ।
तानसेनको छापगाउँमा फलामखानीको उत्खनन् अध्ययन गर्न माग,"सामाजिक सुरक्षा कोषमा आन्तरिक र वैदेशिक रोजगारीमा रहेका १७ लाख ९४ हजार श्रमिक आबद्ध भएका छन् । कोषले औपचारिक, अनौपचारिक र वैदेशिक रोजगारीमा जाने श्रमिकलाई यसमा आबद्ध गराउँदै आएको छ ।"
"अब कसैले अनाथ भएँ भन्नु पर्दैन, सरकार साथमा छ : प्रधानमन्त्री ओली",नेपाल सरकारका प्रवक्ता एवं सञ्चार तथा सूचना प्रविधिमन्त्री पृथ्वी सुब्बा गुरुङले बेल्ट एन्ड रोड इनिसियटिभ (बीआरआई) परियोजनालाई सरकारले ऋणको रुपमा ग्रहण नगर्ने बताए ।
आवासीय चिकित्सकलाई भत्ता थप्ने निर्णयबाट पछि हट्यो आयोग,सरकारले जनप्रतिनिधि र कर्मचारीले सरकारी कामकाजबाहेक अन्य भ्रमणका क्रममा विशेष तथा कूटनीतिक पासपोर्ट प्रयोग गरेर जथाभावी विदेश जाने प्रवृत्ति रोक्ने तयारी गरेको छ । मुख्य सचिव एकनारायण अर्यालको अध्यक्षतामा गत साता बसेको सचिवहरूको बैठकले विदेश भ्रमणसम्बन्धी कार्यविधि नै परिवर्तन गर्न परराष्ट्र मन्त्रालयलाई जिम्मेवारी तोकेपछि यसको तयारी सुरु गरिएको हो ।
आजको मौसम : तराईका केही स्थानमा हल्का हुस्सु,"तानसेन नगरपालिका–८, छापगाउँकी फूलमाया विकको बारीमा अझै पनि वर्षौअघि फलाम प्रशोधन गरेको असर देखिन्छ । हलगोरु लगाएर जोत्नै नसकिने, ट्याक्टर लगाउँदा फलाम प्रशोधनपछि छाडिएका किटले असर गर्ने गरेको हो । अन्नबाली लगाउन कोदाली लगाउँदा निकै अप्ठेरो हुने उनको गुनासो छ । त्यसको असर मल थोरै राख्यो भने अन्नबाली नै हुँदैन । ‘जति खन्यो उति भेटिन्छ,’ उनले भनिन्, ‘जसले गर्दा अन्न लगाउने बेलामा धेरै समस्या हुन्छ ।’"
माल्टामा सञ्चालन हुने घुम्ती शिविर स्थगित,प्रधानमन्त्री केपी शर्मा ओलीले वर्तमान सरकार सामाजिक सुरक्षाको बृहत्तर र परिपूर्ण अवधारणालाई अगाडि बढाउन प्रतिबद्ध रहेको बताएका छन् । सातौँ सामाजिक सुरक्षा दिवसका अवसरमा आज शुभकामना दिँदै उनले सामाजिक सुरक्षा योजनालाई व्यवस्थित ढङ्गले सञ्चालन र त्यसलाई पूर्णता दिन सरकारको ध्यान केन्द्रित भएको बताएका हुन् ।
